listing_id,listing_title,price,currency,vehicle_model_year,vehicle_condition,vehicle_tax_type,vehicle_brand,vehicle_model,vehicle_mileage_km,vehicle_fuel_type,vehicle_transmission,vehicle_engine_cc,vehicle_color,province,district,seller_type,view_count,posted_at,scraped_at,is_premium,listing_url
13652488,BYD Qin L 2100KM Range,26800.0,USD,2024,new,Tax Paper,BYD,Qin L 2100KM,,,,,,Phnom Penh,Saensokh,store,0,2026-06-15 18:27:09,2026-08-17T08:50:50.150021+00:00,,https://www.khmer24.com/post-adid-13652488
13833411,Land Cruiser Lc200 GXR Grand Touring Full-Options 2019,75800.0,USD,2019,used,Plate Number,Toyota,Land Cruiser,,,,,,Phnom Penh,Ruessei Kaev,store,0,2026-07-31 14:55:56,2026-08-17T08:51:00.761593+00:00,,https://www.khmer24.com/post-adid-13833411
13477078,NISSAN NAVARA 2018 FULL ឡានស្អាត,24800.0,USD,2018,used,Plate Number,Nissan,Navara,,,,,,Siem Reap,Siem Reap,store,0,2026-05-04 21:08:55,2026-08-17T08:51:06.452167+00:00,,https://www.khmer24.com/post-adid-13477078
13897122,Sion04abs ឯកសារគ្រប់ម្ចាស់ដើម 5900$ចរចារ,5900.0,USD,2004,used,Tax Paper,,,,,,,,Phnom Penh,Chamkar Mon,store,0,2026-08-17 14:53:21,2026-08-17T08:51:01.695775+00:00,,https://www.khmer24.com/post-adid-13897122
13747303,Highlander 02 P 1 V 6,14100.0,USD,2002,used,Plate Number,Toyota,Highlander,,,,,,Phnom Penh,Tuol Kouk,store,0,2026-07-09 09:57:02,2026-08-17T08:50:50.184491+00:00,,https://www.khmer24.com/post-adid-13747303
13865046,Nissan Navara year 2017,25542.0,USD,2017,used,Plate Number,Nissan,Navara,,,,,,Phnom Penh,Saensokh,individual,0,2026-08-08 22:12:26,2026-08-17T08:50:53.028170+00:00,,https://www.khmer24.com/post-adid-13865046
13860416,Lamborghini huracan full bodykit Carbon & full Exhaust,188000.0,USD,2015,used,Plate Number,,,,,,,,Phnom Penh,Dangkao,individual,0,2026-08-07 16:21:29,2026-08-17T08:50:51.132906+00:00,,https://www.khmer24.com/post-adid-13860416
13775482,FORD RANGER WILTRAK 2020 Bi-Turbo,30500.0,USD,2020,used,Plate Number,Ford,Ranger,,,,,,Phnom Penh,Saensokh,store,0,2026-07-16 11:25:12,2026-08-17T08:51:06.444309+00:00,,https://www.khmer24.com/post-adid-13775482
13885673,Lexus RX400h,20000.0,USD,2006,used,Plate Number,Lexus,RX400h,,,,,,Phnom Penh,Chbar Ampov,individual,0,2026-08-14 12:38:17,2026-08-17T08:50:50.186494+00:00,,https://www.khmer24.com/post-adid-13885673
13553462,Ford fiesta 2015ឡានថ្មីខ្លាំង,8900.0,USD,2015,used,Plate Number,Ford,fiesta 2015ឡានថ្មីខ្លាំង,,,,,,Phnom Penh,Tuol Kouk,individual,0,2026-05-22 16:21:36,2026-08-17T08:50:57.861736+00:00,,https://www.khmer24.com/post-adid-13553462
13612134,2018 Alphard 3.5L ឆ្វេងស៊ីន Russia Spec.Full Option កៅអីដើរកណ្តាលបាន,65800.0,USD,2018,used,Plate Number,Toyota,Alphard,,,,,,Phnom Penh,Chamkar Mon,store,0,2026-06-05 17:30:36,2026-08-17T08:50:56.871420+00:00,,https://www.khmer24.com/post-adid-13612134
13896987,ឡានលក់ Camry LE 2002 ធានាឡានស្អាតអត់បុក ឯកសារគ្រប់ឡានរៀបចំរួចហើយតំលៃ10800$ចរចា 0966074444,10800.0,USD,2002,used,Plate Number,Toyota,Camry,,,,,,Phnom Penh,Por Senchey,store,0,2026-08-17 14:23:59,2026-08-17T08:51:08.281535+00:00,,https://www.khmer24.com/post-adid-13896987
13269350,2018 Range Rover Sport V6 សាំង​ Full Option,48500.0,USD,2018,used,Plate Number,Land Rover,Range Rover Sport,,,,,,Phnom Penh,Chbar Ampov,store,0,2026-03-09 20:34:35,2026-08-17T08:50:52.083594+00:00,,https://www.khmer24.com/post-adid-13269350
13630582,Toyota Prius 2008 (Full Option),13700.0,USD,2008,used,Tax Paper,Toyota,Prius,,,,,,Phnom Penh,Preaek Pnov,store,0,2026-06-10 12:57:19,2026-08-17T08:50:59.838451+00:00,,https://www.khmer24.com/post-adid-13630582
13887736,Prius 012 option 3 តម្លៃល្អ,16300.0,USD,2012,used,Tax Paper,Toyota,Prius,,,,,,Phnom Penh,Saensokh,store,0,2026-08-14 21:53:35,2026-08-17T08:50:53.940636+00:00,,https://www.khmer24.com/post-adid-13887736
13896982,ឡានថៅកែចិន ចង់លក់,130000.0,USD,2021,used,Plate Number,,,,,,,,Phnom Penh,Chamkar Mon,individual,0,2026-08-17 14:21:26,2026-08-17T08:51:08.296159+00:00,,https://www.khmer24.com/post-adid-13896982
13893460,Car for sale Volkswagen 2023 ឡានម្ចាស់ដើមជិះបាន៣ម៉ឺនគីឡូជាងទេ នៅថ្មីណាស់ ទឹកថ្នាំស្រីនម៉ាជុំ,20500.0,USD,2023,used,Plate Number,Volkswagen,ឡានម្ចាស់ដើមជិះបាន៣ម៉ឺនគីឡូជាងទេ នៅថ្មីណាស់ ទឹកថ្នាំស្រីនម៉ាជុំ,,,,,,Phnom Penh,Mean Chey,store,0,2026-08-16 16:09:22,2026-08-17T08:51:03.584859+00:00,,https://www.khmer24.com/post-adid-13893460
13747744,Car for sell,9500.0,USD,2007,used,Plate Number,,,,,,,,Phnom Penh,Dangkao,store,0,2026-07-09 11:16:21,2026-08-17T08:51:02.645676+00:00,,https://www.khmer24.com/post-adid-13747744
13590927,Mazda BT 50 2021 Thunder 3.2L Full Option,31300.0,USD,2021,used,Plate Number,Mazda,BT 50 Thunder,,,,,,Phnom Penh,Saensokh,individual,0,2026-05-31 22:06:06,2026-08-17T08:51:01.705183+00:00,,https://www.khmer24.com/post-adid-13590927
13718096,2026 palisade,68800.0,USD,2026,used,Plate Number,Hyundai,Palisade,,,,,,Phnom Penh,Ruessei Kaev,store,0,2026-07-01 20:03:59,2026-08-17T08:50:50.130959+00:00,,https://www.khmer24.com/post-adid-13718096
